Id,Name,Description,GarrTalentTreeId,Tier,UiOrder,IconFileDataId,PlayerConditionId,GarrAbilityId,Field_8_3_0_32044_009,Field_8_3_0_32044_010,PrerequisiteTalentId,ResearchCostSource
"510","Demonic Brutes","You are now able to recruit Felguard Brutes, a powerful troop type.

Felguard Brutes have a random Ability and can counter either |C00b3ffffMinions|R, |C00b3ffffSpells|R or |C00b3ffffHazards|R, in addition to:

|TInterface\ICONS\Ability_DemonHunter_FelRush.blp:20:20:0:0|t |CffffffffFel Charge|R
$@garrabdesc887","110","6","0","132332","48550","0","0","0","0","0"
"511","Roster of Champions","$@garrabdesc892","110","6","1","607852","48550","0","0","0","0","0"
"513","Strike Hard","You are now able to recruit a Shock Force, a powerful troop type.

Shock Forces have a random Ability and can counter either |C00b3ffffMinions|R, |C00b3ffffSpells|R or |C00b3ffffHazards|R, in addition to:

|TInterface\ICONS\ACHIEVEMENT_FACTION_SHADOPAN_ASSAULT.BLP:20:20:0:0|t |CffffffffHard Assault|R
$@garrabdesc878","122","6","0","458975","48550","0","0","0","0","0"
"514","Roster of Champions","$@garrabdesc892","122","6","1","132175","48550","0","0","0","0","0"
"530","Tier 1 - Aura 1","$@garrspelldesc","150","0","3","132168","0","0","0","0","0","0"
"531","Tier 2 - Aura 3","Applies Tier 2 Aura 3","150","1","3","1392555","0","0","0","0","0","0"
"532","Tier 4 - Aura 1","Applies Tier 2 Aura 1","150","3","1","1392564","0","0","0","0","0","0"
"533","Tier 2 - Aura 2","Applies Tier 2 Aura 2","150","1","2","132294","0","0","0","0","531","0"
"534","Dragon Crash","$@spelldesc247089","151","6","0","1354171","50667","0","0","0","0","0"
"535","Accelerated Aggression","$@spelldesc245600","151","1","0","1380676","50662","0","0","0","0","0"
"536","Rapid Recovery","$@spelldesc247097","151","1","1","609811","50662","0","0","0","0","0"
"537","Dragon's Determination","$@spelldesc245604","151","2","0","236232","50663","0","0","0","0","0"
"538","Chrono Charisma","$@spelldesc247099","151","2","1","236688","50663","0","0","0","0","0"
"540","Blessing of the Bronze Dragonflight","$@spelldesc247111","151","3","1","134156","50664","0","0","0","0","0"
"541","Time Stop","$@spelldesc247103","151","0","0","1391675","50661","0","0","0","0","0"
"542","Acceleration","$@spelldesc247104","151","0","1","965900","50661","0","0","0","0","0"
"543","Keepsake Continuum","$@spelldesc247692","151","5","1","132594","50666","0","0","0","0","0"
"544","Infinite Velocity","$@spelldesc247110","151","5","0","237508","50666","0","0","0","0","0"
"545","Fortuitous","$@spelldesc247094","151","4","0","1391676","50665","0","0","0","0","0"
"546","Insight","$@spelldesc247088","151","3","0","525134","50664","0","0","0","0","0"
"547","Seafarer's Hearth","Harness the power of the sea, reducing the cooldown of your Hearthstone by ${$a1658}% when used in Kul Tiras and Zandalar.","152","0","0","413582","64059","0","0","0","0","0"
"548","Swift Landing","Capture the momentum from your recent flight path, increasing your mounted movement speed by ${$a1661}% for ${$a1662} minutes upon landing.","152","0","1","298594","64059","0","0","0","0","0"
"549","Upgraded Troop Barracks","Construct a larger barracks for your army, increasing the maximum number of troops you can house by ${$a1664}.","152","1","0","975738","64047","1254","0","0","0","0"
"550","Troop Portal Network","Open a portal for transportation of troops from Orgrimmar, allowing troops to be recruited instantly.","152","1","1","413583","64047","1264","0","0","0","0"
"551","Seafarer's Hearth","Harness the power of the sea, reducing the cooldown of your Hearthstone by ${$a1658}% when used in Kul Tiras and Zandalar.","153","0","0","413582","64046","0","0","0","0","0"
"552","Swift Landing","Capture the momentum from your recent flight path, increasing your mounted movement speed by ${$a1661}% for ${$a1662} minutes upon landing.","153","0","1","132239","64046","0","0","0","0","0"
"553","Upgraded Troop Barracks","Construct a larger barracks for your army, increasing the maximum number of troops you can house by ${$a1664}.","153","1","0","975738","64047","1254","0","0","0","0"
"554","Troop Portal Network","Open a portal for transportation of troops from Stormwind, allowing troops to be recruited instantly.","153","1","1","413583","64047","1264","0","0","0","0"
"655","Island Plunderer","Learn the pirate secrets of spotting treasure, granting you a chance to receive additional Seafarer's Dubloons on Island Expeditions.","152","2","0","1064187","64048","0","0","0","0","0"
"656","Island Archeologist","Learn the secrets of ancient civilizations, increasing the duration of effects from shrines by ${$a1667}%.","152","2","1","134451","64048","0","0","0","0","0"
"657","World Azerite Detector","Construct an Azerite detector on your ship, granting you a chance to find additional Azerite when completing World Quests.","152","3","0","2065603","64049","0","0","0","0","0"
"658","Local Transportation","Upgrade your Flight Master's Whistle, allowing you to call for a quick flight back to Zuldazar when using your whistle directly next to a flight master on Zandalar or Kul Tiras.","152","3","1","132161","64049","0","0","0","0","0"
"659","Warfront Resourcer","Establish access to resources outside of the Warfront, allowing you to enter the battle with ${$a1672} Iron and ${$a1710} Wood.","152","4","0","1059116","64050","0","0","0","0","0"
"660","Warfront General","Learn how to best inspire allies in combat, increasing the effectiveness of your recruited troops by ${$a1674}% while fighting in a Warfront.","152","4","1","2032483","64050","0","0","0","0","0"
"661","Horde Ambassador","Open up additional lines of trade with your new allies, granting additional War Resources from emissary quests.","152","5","0","2065571","64052","0","0","0","0","0"
"662","Island Plunderer","Learn the pirate secrets of spotting treasure, granting you a chance to receive additional Seafarer's Dubloons on Island Expeditions.","153","2","0","1064187","64048","0","0","0","0","0"
"663","Island Archeologist","Learn the secrets of ancient civilizations, increasing the duration of effects from shrines by ${$a1667}%.","153","2","1","134451","64048","0","0","0","0","0"
"664","World Azerite Detector","Construct an Azerite detector on your ship, granting you a chance to find additional Azerite when completing World Quests.","153","3","0","2065603","64049","0","0","0","0","0"
"665","Local Transportation","Upgrade your Flight Master's Whistle, allowing you to call for a quick flight back to Boralus when using your whistle directly next to a flight master on Zandalar or Kul Tiras.","153","3","1","132161","64049","0","0","0","0","0"
"666","Warfront Resourcer","Establish access to resources outside of the Warfront, allowing you to enter the battle with ${$a1672} Iron and ${$a1710} Wood.","153","4","0","1059116","64050","0","0","0","0","0"
"667","Warfront General","Learn how to best inspire allies in combat, increasing the effectiveness of your recruited troops by ${$a1674}% while fighting in a Warfront.","153","4","1","2001890","64050","0","0","0","0","0"
"668","Alliance Ambassador","Open up additional lines of trade with your new allies, granting additional War Resources from emissary quests.","153","5","0","2065569","64051","0","0","0","0","0"
"695","Let There Be Light","Allows for you to discover torches which regenerate Sanity inside the Visions of N'Zoth. [NYI]","260","0","0","135433","67754","0","0","0","0","0"
"696","Know No Fear","Increases your max sanity.[NYI]","260","1","0","136035","67754","0","0","0","0","0"
"697","The Penitent Shall Pass","Your sanity now passively regenerates. [NYI]","260","1","1","135740","67754","0","0","0","0","0"
"698","My Name Is Fury","Whenever you take damage that causes you to lose sanity, deal damage to the enemy as well. [NYI]","260","2","0","1786422","0","0","0","0","0","0"
"699","Friends In The Darkness","Whenever you lose Sanity, chance to summon a friendly void fiend to fight by your side for a short time.[NYI]","260","2","1","1711339","0","0","0","0","0","0"
"700","Rich Cache","Chests now have a chance to contain stronger torches and greater scrolls in them. [NYI]","260","3","0","1001977","0","0","0","0","0","0"
"701","Fleeting Vision","Whenever you are inside the Vision, your movement speed is increased. [NYI]","260","4","0","237529","0","0","0","0","0","0"
"702","Bountiful Vision","Increases the number of Corrupted Mementos that drop for you. [NYI]","260","4","1","901746","0","0","0","0","0","0"
"703","Stalwart Mind","Whenever you are afflicted by a madness, chance instead to benefit from a Boon of Resolve. {NYI]","260","5","0","413576","0","0","0","0","0","0"
"709","Emergency Cranial Defibrillation","$@spelldesc304815","263","3","0","236225","0","0","0","0","0","0"
"721","Cleansing Procedures","$@spelldesc304844","263","0","0","132793","0","0","0","0","0","0"
"722","Sanitation Mastery","$@spelldesc304852","263","1","0","655994","0","0","0","0","0","0"
"723","Inversion","$@spelldesc304872","263","2","0","135936","0","0","0","0","0","0"
"728","Synchronized Mind Stabilizer","$@spelldesc305111","264","3","0","1030095","0","0","0","0","0","0"
"729","Portable Clarity","$@spelldesc305146","264","0","0","236249","0","0","0","0","0","0"
"730","Expansive Mind","$@spelldesc305159","264","1","0","237548","0","0","0","0","0","0"
"731","Experimental Endeavor Expertise","$@spelldesc305169","264","2","0","236248","0","0","0","0","0","0"
"732","Experimental Destabilization","$@spelldesc305380","265","0","0","236251","0","0","0","0","0","0"
"733","Leveraged Materials","$@spelldesc307515","265","1","0","133784","0","0","0","0","0","0"
"734","Sanitation Mastery","$@spelldesc307517","266","0","0","135985","0","0","0","0","0","0"
"735","Vision Hunter","$@spelldesc307518","266","1","0","135599","0","0","0","0","0","0"
"736","Clear Sight","$@spelldesc307519","267","0","0","133146","0","0","0","0","0","0"
"737","Vision Cartography","$@spelldesc307520","267","1","0","237383","0","0","0","0","0","0"
"738","Vision Reorganization","$@spelldesc307525","267","2","0","511651","0","0","0","0","0","0"
"739","Reverse Protocol","$@spelldesc307527","268","0","0","135939","0","0","0","0","0","0"
"740","Repurposed Visage Techniques","$@spelldesc307528","268","1","0","1981727","0","0","0","0","0","0"
"742","Tier 3 - Aura 1","","150","2","2","132111","0","0","0","0","0","0"
"749","Tier 4 - Aura 2","","150","3","2","132166","0","0","0","0","0","0"
"750","Tier 4 - Aura 3","","150","3","3","132212","0","0","0","0","0","0"
"751","Tier 5 - Aura 1","","150","4","0","461846","0","0","0","0","0","0"
"752","Tier 5 - Aura 2","","150","4","3","132174","0","0","0","0","0","0"
"753","Tier 6 - Aura 1","","150","5","1","236179","0","0","0","0","0","0"
"755","Tier 7 - Aura 1","","150","5","2","132169","0","0","0","0","0","0"
"756","Tier 7 - Aura 2","","150","6","3","461117","0","0","0","0","0","0"
"757","Tier 7 - Aura 3","","150","5","4","236189","0","0","0","0","0","0"
"758","Tier 7 - Aura 1","","150","7","3","461113","0","0","0","0","0","0"
"759","Tier 2 - Aura 4","","150","1","4","132165","0","0","0","0","531","0"
"760","Tier 4 - Aura 5","","150","3","5","132171","0","0","0","0","0","0"
"785","Tier 3 - Aura 2","","150","2","4","461112","0","0","0","0","0","0"
"786","Tier 4 - Aura 4","","150","3","4","236177","0","0","0","0","0","0"
"787","Tier 5 - Aura 3","","150","4","6","132173","0","0","0","0","0","0"
"788","TGier 6 - Aura 3","","150","5","5","132176","0","0","0","0","0","0"
"791","Orb Operation Manual","$@spelldesc307527","271","0","2","236249","0","0","0","2","0","1"
"792","Gift of the Titans","$@spelldesc307528","271","5","2","2000853","77249","0","0","2","0","1"
"794","Singular Sanitation Expertise","$@garrspelldesc","271","1","1","897130","0","0","0","0","0","1"
"795","Emergency Cranial Defibrillation","$@spelldesc304815","271","1","0","236225","0","0","0","0","794","1"
"798","Expansive Mind","$@garrspelldesc","271","1","3","237548","0","0","0","0","0","1"
"800","Synchronized Mind Stabilizer","$@spelldesc305111","271","1","4","1030095","0","0","0","0","798","1"
"802","Clear Sight","$@garrspelldesc","271","2","2","135918","77250","0","0","0","0","1"
"804","Experimental Destabilization","$@garrspelldesc","271","4","1","236251","0","0","0","0","0","1"
"805","Elite Extermination","$@spelldesc310720","271","3","2","135939","0","0","0","0","0","1"
"806","Vision Hunter","$@garrspelldesc","271","4","3","236282","0","0","0","0","0","1"
